stadium,city,state,team,conference,capacity,record,built,expanded,place_gid,statefp,placefp,alt
Aggie Memorial Stadium,Las Cruces,NM,New Mexico State,Independent,30343,32993,1978,2005,5245,35,39380,
Alamodome,San Antonio,TX,UTSA,C-USA,65000,56743,1993,,6187,48,65000,Texas-San Antonio
Aloha Stadium,Honolulu,HI,Hawaii,Mountain West,50000,50000,1975,2003,1781,15,71550,
Alumni Stadium,Chestnut Hill,MA,Boston College,ACC,44500,44500,1957,1995,22387,25,07000,
Amon G. Carter Stadium,Fort Worth,TX,TCU,Big 12,45000,50307,1929,2012,6595,48,27000,
Apogee Stadium,Denton,TX,North Texas,C-USA,30850,28075,2011,N/A,6948,48,19972,
Arizona Stadium,Tucson,AZ,Arizona,Pac-12,51811,59920,1928,1988,3663,04,77000,
Autzen Stadium,Eugene,OR,Oregon,Pac-12,54000,60055,1967,2002,2185,41,23850,
BB&T Field,Winston-Salem,NC,Wake Forest,ACC,31500,37623,1968,2007,24929,37,75000,
Beaver Stadium,University Park,PA,Penn State,Big Ten,106572,110753,1960,2001,26898,42,73808,
Ben Hill Griffin Stadium,Gainesville,FL,Florida,SEC,88548,90907,1930,2003,7934,12,25175,
Bill Snyder Family Football Stadium,Manhattan,KS,Kansas State,Big 12,50000,53811,1968,2005,13948,20,44250,
Bobby Bowden Field at Doak Campbell Stadium,Tallahassee,FL,Florida State,ACC,82300,84392,1950,2003,7899,12,70600,
Bobby Dodd Stadium at Historic Grant Field,Atlanta,GA,Georgia Tech,ACC,55000,60316,1913,2003,8767,13,04000,
Boone Pickens Stadium,Stillwater,OK,Oklahoma State,Big 12,60218,59061,1920,2005,19283,40,70300,
Brigham Field at Huskie Stadium,DeKalb,IL,NIU,MAC,25500,28221,1965,1995,10656,17,19161,Northern Illinois
Bright House Networks Stadium,Orlando,FL,UCF,American,45323,48453,2007,N/A,7774,12,53000,
Bronco Stadium,Boise,ID,Boise State,Mountain West,37000,36864,1970,2012,1915,16,08830,
Bryant–Denny Stadium,Tuscaloosa,AL,Alabama,SEC,101821,101821,1929,2010,3479,01,77256,
Bulldog Stadium,Fresno,CA,Fresno State,Mountain West,41031,42881,1980,1992,420,06,27000,
Byrd Stadium,College Park,MD,Maryland,ACC,51802,58973,1950,2009,21846,24,18750,
Cajun Field,Lafayette,LA,Louisiana-Lafayette,Sun Belt,31000,41357,1971,N/A,4650,22,40735,
California Memorial Stadium,Berkeley,CA,California,Pac-12,62717,83000,1923,2012,225,06,06000,
Camp Randall Stadium,Madison,WI,Wisconsin,Big Ten,80321,83184,1917,2005,20720,55,48000,
Carrier Dome,Syracuse,NY,Syracuse,ACC,49250,50564,1980,N/A,23688,36,73000,
Carter–Finley Stadium,Raleigh,NC,NC State,ACC,57583,57583,1966,2006,24661,37,55000,North Carolina State
Commonwealth Stadium,Lexington,KY,Kentucky,SEC,67606,71024,1973,1999,14400,21,46027,
Darrell K Royal–Texas Memorial Stadium,Austin,TX,Texas,Big 12,100119,101851,1924,2009,6703,48,05000,
Davis Wade Stadium,Starkville,MS,Mississippi State,SEC,55082,58103,1914,2002,5132,28,70240,
Dix Stadium,Kent,OH,Kent State,MAC,25000,27363,1969,2008,25320,39,39872,
Dowdy–Ficklen Stadium,Greenville,NC,East Carolina,C-USA,50000,50610,1963,2010,24822,37,28080,
Doyt Perry Stadium,Bowling Green,OH,Bowling Green,MAC,23724,33527,1966,,18903,39,07972,
Falcon Stadium,Colorado Springs,CO,Air Force,Mountain West,46692,56409,1962,,10211,08,16000,
Faurot Field,Columbia,MO,Missouri,SEC,71004,75298,1927,1997,16605,29,15670,
FAU Stadium,Boca Raton,FL,Florida Atlantic,C-USA,30000,29103,2011,N/A,7823,12,07300,
FIU Stadium,Miami,FL,FIU,C-USA,25000,22682,1995,2012,7974,12,45000,Florida International
Floyd Casey Stadium,Waco,TX,Baylor,Big 12,50000,51385,1950,2002,6578,48,76000,
Folsom Field,Boulder,CO,Colorado,Pac-12,53750,54972,1924,2003,10163,08,07850,
Gaylord Family Oklahoma Memorial Stadium,Norman,OK,Oklahoma,Big 12,82112,86031,1925,2003,5596,40,52500,
Georgia Dome,Atlanta,GA,Georgia State,Sun Belt,71228,,1992,,8767,13,04000,
Gerald J. Ford Stadium,University Park,TX,SMU,American,32000,35481,2000,,6409,48,74492,Southern Methodist
Gillette Stadium,Foxborough,MA,UMass,MAC,68756,68756,2002,,22483,25,24855,
Glass Bowl,Toledo,OH,Toledo,MAC,26248,36852,1937,1990,19044,39,77000,
Heinz Field,Pittsburgh,PA,Pittsburgh,ACC,65050,66731,2001,,26136,42,61000,
High Point Solutions Stadium,Piscataway,NJ,Rutgers,American,52454,53737,1994,2009,22952,34,51210,
Houchens Industries–L. T. Smith Stadium,Bowling Green,KY,Western Kentucky,Sun Belt,22000,22297,1968,2008,14319,21,08902,
Husky Stadium,Seattle,WA,Washington,Pac-12,72500,76125,1920,1987,2639,53,63000,
Jack Trice Stadium,Ames,IA,Iowa State,Big 12,55000,56800,1975,2008,13174,19,01855,
Jim Wacker Field at Bobcat Stadium,San Marcos,TX,Texas State,Sun Belt,30000,33006,1981,2012,6883,48,65600,
Joan C. Edwards Stadium,Huntington,WV,Marshall,C-USA,38019,41382,1991,2000,28681,54,39460,
Joe Aillet Stadium,Ruston,LA,Louisiana Tech,C-USA,30600,28714,1968,1989,4626,22,66655,
"Johnny ""Red"" Floyd Stadium",Murfreesboro,TN,Middle Tennessee,C-USA,31000,30502,1933,1998,20046,47,51560,Middle Tennessee State
Jones AT&T Stadium,Lubbock,TX,Texas Tech,Big 12,60862,60879,1947,2013,6691,48,45000,
Jordan–Hare Stadium,Auburn,AL,Auburn,SEC,87451,87451,1939,2004,3112,01,03076,
Kelly/Shorts Stadium,Mount Pleasant,MI,Central Michigan,MAC,30199,30302,1972,1997,15137,26,56020,
Kenan Memorial Stadium,Chapel Hill,NC,North Carolina,ACC,62980,62000,1927,2011,24658,37,11800,
Kibbie Dome,Moscow,ID,Idaho,Independent,16000,17600,1975,,1874,16,54550,
Kinnick Stadium,Iowa City,IA,Iowa,Big Ten,70585,70585,1929,2006,13064,19,38595,
Kyle Field,College Station,TX,Texas A&M,SEC,82589,90079,1927,2007,6132,48,15976,
Ladd Peebles Stadium,Mobile,AL,South Alabama,Sun Belt,40646,26783,1948,2009,3074,01,50000,
Lane Stadium,Blacksburg,VA,Virginia Tech,ACC,66233,66233,1965,2005,28137,51,07784,
LaVell Edwards Stadium,Provo,UT,BYU,Independent,63725,66247,1964,1982,20327,49,62470,Brigham Young
Legion Field,Birmingham,AL,UAB,C-USA,71594,44669,1926,1991,3483,01,07000,
Liberty Bank Stadium,Jonesboro,AR,Arkansas State,Sun Belt,30964,31243,1974,2002,9971,05,35710,
Liberty Bowl Memorial Stadium,Memphis,TN,Memphis,American,62380,65885,1965,1987,5981,47,48000,
Lincoln Financial Field,Philadelphia,PA,Temple,American,68532,69029,2003,,26900,42,60000,
Los Angeles Memorial Coliseum,Los Angeles,CA,Southern California,Pac-12,93607,105236,1923,2008,546,06,44000,USC
Mackay Stadium,Reno,NV,Nevada,Mountain West,29993,33391,1966,1992,1982,32,60600,
Malone Stadium,Monroe,LA,Louisiana-Monroe,Sun Belt,30427,31175,1978,1993,4431,22,51410,
Martin Stadium,Pullman,WA,Washington State,Pac-12,32248,40306,1972,2000,2549,53,56625,
Memorial Stadium,Clemson,SC,Clemson,ACC,81500,86092,1942,2006,9296,45,14950,
Memorial Stadium,Champaign,IL,Illinois,Big Ten,60670,78297,1923,2011,10668,17,12385,
Memorial Stadium,Bloomington,IN,Indiana,Big Ten,52959,56223,1960,2010,12257,18,05860,
Memorial Stadium,Lawrence,KS,Kansas,Big 12,50071,52530,1921,1999,14040,20,38900,
Memorial Stadium,Lincoln,NE,Nebraska,Big Ten,87091,91471,1923,2013,17691,31,28000,
Mercedes-Benz Superdome,New Orleans,LA,Tulane,C-USA,69703,79651,1975,2006,4639,22,55000,
Blaik Field at Michie Stadium,West Point,NY,Army,Independent,38000,42765,1924,2001,24322,36,80747,
Michigan Stadium,Ann Arbor,MI,Michigan,Big Ten,109901,115109,1927,2010,14961,26,03000,
Mountaineer Field at Milan Puskar Stadium,Morgantown,WV,West Virginia,Big 12,60000,70222,1980,2004,28584,54,55756,
Navy–Marine Corps Memorial Stadium,Annapolis,MD,Navy,Independent,34000,37970,1959,2005,21918,24,01600,
Neyland Stadium,Knoxville,TN,Tennessee,SEC,102455,109061,1921,2009,27773,47,40000,
Nippert Stadium,Cincinnati,OH,Cincinnati,American,35097,36007,1924,2005,18785,39,15000,
Notre Dame Stadium,Notre Dame,IN,Notre Dame,Independent,80795,80795,1930,1997,12580,18,55386,
Ohio Stadium,Columbus,OH,Ohio State,Big Ten,102329,106102,1922,2001,25201,39,18000,
Papa John's Cardinal Stadium,Louisville,KY,Louisville,American,56000,55386,1998,2010,14486,21,48006,
Peden Stadium,Athens,OH,Ohio,MAC,24000,25893,1929,2001,25351,39,02736,
Qualcomm Stadium,San Diego,CA,San Diego State,Mountain West,70561,68537,1967,1997,327,06,66000,
Raymond James Stadium,Tampa,FL,USF,American,65857,71921,1998,,8009,12,71000,South Florida
Reliant Stadium,Houston,TX,Houston,American,71054,,2002,,6453,48,35000,
"Donald W. Reynolds Razorback Stadium, Frank Broyles Field",Fayetteville,AR,Arkansas,SEC,72000,76808,1938,2006,9894,05,23290,
Rentschler Field,East Hartford,CT,Connecticut,American,40000,40000,2003,,21463,09,22700,
Reser Stadium,Corvallis,OR,Oregon State,Pac-12,45674,46469,1953,2005,2194,41,15800,
Rice Stadium,Houston,TX,Rice,C-USA,47000,73000,1950,,6453,48,35000,
Rice-Eccles Stadium,Salt Lake City,UT,Utah,Pac-12,45017,46768,1998,1998,20203,49,67000,
M. M. Roberts Stadium,Hattiesburg,MS,Southern Miss,C-USA,36000,36232,1932,2008,5007,28,31020,
Romney Stadium,Logan,UT,Utah State,Mountain West,25513,33119,1968,1980,20232,49,45860,
Rose Bowl,Pasadena,CA,UCLA,Pac-12,92542,106869,1922,1949,558,06,56000,
Ross–Ade Stadium,West Lafayette,IN,Purdue,Big Ten,62500,71629,1924,2006,12227,18,82862,
Ryan Field,Evanston,IL,Northwestern,Big Ten,47130,55752,1926,1997,11039,17,24582,
Rynearson Stadium,Ypsilanti,MI,Eastern Michigan,MAC,30200,26188,1969,1992,14967,26,89140,
Sam Boyd Stadium,Whitney,NV,UNLV,Mountain West,36800,44615,1971,1999,2104,32,83800,
Sanford Stadium,Athens,GA,Georgia,SEC,92746,92746,1929,2004,8577,13,03440,
Scheumann Stadium,Muncie,IN,Ball State,MAC,22500,23861,1967,2007,12075,18,51876,
Scott Stadium,Charlottesville,VA,Virginia,ACC,61500,64947,1931,2000,27958,51,14968,
Skelly Field at H. A. Chapman Stadium,Tulsa,OK,Tulsa,C-USA,35542,47350,1930,2005,19211,40,75000,
Sonny Lubick Field at Hughes Stadium,Fort Collins,CO,Colorado State,Mountain West,34400,39107,1968,2006,10192,08,27425,
Spartan Stadium,East Lansing,MI,Michigan State,Big Ten,75005,80401,1923,2005,14934,26,24120,
Spartan Stadium,San Jose,CA,San Jose State,Mountain West,30456,31681,1933,1985,412,06,68000,
Stanford Stadium,Stanford,CA,Stanford,Pac-12,50000,51607,1921,2006,1429,06,73906,
Summa Field at InfoCision Stadium,Akron,OH,Akron,MAC,30000,27881,2009,,25157,39,01000,
Sun Bowl Stadium,El Paso,TX,UTEP,C-USA,51500,53415,1963,1981,6776,48,24000,
"Sun Devil Stadium, Frank Kush Field",Tempe,AZ,Arizona State,Pac-12,71706,74963,1958,1998,29372,04,73000,
Sun Life Stadium,Miami Gardens,FL,Miami,ACC,75504,78468,1987,,7976,12,45060,Miami (FL)
TCF Bank Stadium,Minneapolis,MN,Minnesota,Big Ten,50805,50805,2009,,15700,27,43000,
Tiger Stadium,Baton Rouge,LA,LSU,SEC,92542,93374,1924,2006,4388,22,05000,
University Stadium,Albuquerque,NM,New Mexico,Mountain West,39224,44760,1960,2007,5223,35,02000,
UB Stadium,Amherst,NY,Buffalo,MAC,29013,29795,1993,,23506,36,82084,
Vanderbilt Stadium,Nashville,TN,Vanderbilt,SEC,39790,41448,1922,2004,19900,47,52006,
Vaught–Hemingway Stadium,Oxford,MS,Mississippi,SEC,60580,62657,1915,2002,5069,28,54840,
Veterans Memorial Stadium,Troy,AL,Troy,Sun Belt,30000,26574,1950,2003,3516,01,76920,
Waldo Stadium,Kalamazoo,MI,Western Michigan,MAC,30200,36361,1939,2003,14974,26,42160,
Wallace Wade Stadium,Durham,NC,Duke,ACC,33941,57500,1929,,24659,37,19000,
War Memorial Stadium,Laramie,WY,Wyoming,Mountain West,29181,34745,1950,2010,21215,56,45050,
Williams-Brice Stadium,Columbia,SC,South Carolina,SEC,80250,85199,1934,1996,9373,45,16000,
Yager Stadium,Oxford,OH,Miami University,MAC,24286,30087,1983,2005,18847,39,59234,Miami (OH)
